name,author,category,description
Женщины в ранней британской и ирландской астрономии,Мэри Брюк,Наука,"Карьера в астрономии для женщин (как в других науках) была редкостью в Великобритании и Ирландии до двадцатого века.Книга исследует место женщин в астрономии до этой эпохи, рассказываемой в форме биографий около 25 женщин, родившихся между 1650 и 1900 годами, которые в различных способностях способствовали его прогрессу в течение восемнадцатого, девятнадцатого и начала двадцатого веков.Среди них есть некоторые известные имена, чьи биографии были написаны до сих пор, есть и другие, которые получили меньше, чем должное признание, в то время как гораздо более занятые незаметные, а иногда и без благодарных мест в качестве помощников членов семьи мужского пола.Все заслуживают того, чтобы их запомнили как интересные люди в более раннем возрасте.Расположенный в примерно хронологическом порядке, их жизнь представляет собой образцовую нить в истории женского вступления в мужской мир науки.Книга предназначена для астрономов, любителей астрономов, историков науки и промоутеров женщин в науке, но, написанные на нетехническом языке, предназначена для образованных читателей."
Обсерватория,Нет данных,Астрономия,«Обзор астрономии» (варьируется).
"Астрономия: все, что имеет значение",Перси Сеймур,Наука,"С смесью захватывающих открытий и важной научной теории это инновационное и читаемое введение в астрономию идеально подходит для тех, кто хочет понять, что мы знаем о вселенной, и откуда мы ее знаем.Каждая глава начинается с подробностей метода астрономов Джоу с течением времени, наблюдая за миром, а затем использует это в качестве трамплина, чтобы обсудить, что они обнаружили, и почему это было важно для понимания космоса.Последняя глава, на Dark Matter, также фокусируется на многих вещах, которые мы еще не знаем - напоминая нам, что астрономия, как и эта книга, является быстро развивающейся и увлекательной темой."
Организации и стратегии в астрономии,Андре Хек,Наука,"Я очень благодарен Андру, черт возьми за его приглашение написать предисловие в ОАС, том 4, я буду использовать эту ценную возможность, чтобы подчеркнуть эти темы в том.4, что я считаю важными, даже если другие темы могут иметь еще большее значение в универсальном масштабе вещей.С самого начала позвольте мне сказать, что я поблагодарил Vol.4 Для его читателей - он содержит большой очень большой интерес для организаций и стратегий в области астрономии.Тема, которую я считаю очень важной в настоящее время, - это неблагоприятное воздействие на окружающую среду на астрономию.В OSA 4 есть две статьи в OSA 4- Cohen по стратегиям защиты радио-астмами и Шварца по контролю за загрязнением света.Рост в степени использования, мощность и спектральный спрос на радиопередачу продолжает увеличиваться практически в геометрической прогрессии.Влияние на «слушание», такие как радиоастрономия, было серьезным.Только благодаря творчеству в разработке новых методов для радиотеша (включая легальные передачи) сокращение передач) и в полном участии в процессе распределения радиочастотных, радиострономия, разработанная для мощного инструмента расследования, которым он является сегодня."
Основы астрономии,C Барбиери,Наука,"Предоставляя широкий обзор основополагающих концепций, основы астрономии охватывают темы, начиная от сферической астрономии до небесной механики, закрывая две главы, в которых обсуждаются элементы астрономической фотометрии и спектроскопии.Дополнительные и пояснительные заметки в конце каждой главы предоставляют ссылки на материалы, опубликованные в научных журналах, а решенные и нераскрытые упражнения позволяют студентам пересмотреть свое понимание материала.В широком освещении книга представлены аргументы из классической астрономии, такие как сферическая астрономия, которые формируют основу для будущей работы в этой области.Особенности: Предоставлено вступительное видение аргументов от сферической астрономии до небесной механики до астрономической фотометрии и спектроскопии представляет информацию на вводном уровне без жертвы научной строгости, включающие в себя рабочие примеры, ссылки и оценки веб -сайтов"
Астрономия общение,"Андре Хек, Клаус Мэдсен",Наука,"AstronomyhasalwaysbeenoneOfTheAseestOfTHESCIENCESTOCONVEYTO общественность.Это отчасти потому, что он создает впечатляющие картины, которые можно объяснить (по крайней мере частично) и восхищаться, отчасти потому, что понимание астрономии обычно не зависит от знания сложной системы клиентов или эзотерической терминологии, а отчасти потому, что ее крайности в расстояниях и времена бросают вызов наше воображение и философию.Большинство ученых любят делиться с другими открытиями, сделанными сами и их коллегами.Основная цель научных исследований - открыть для себя, учиться и понять.Когда мы добиваемся успеха, мы наслаждаемся этим пониманием.Образование наиболее приятно, когда наша аудитория хочет учиться, и у нас есть что -то важное для передачи.Aldthatdoesnotcommunicatee?Автор Андр, хэк, объясняет множество различных способов, которыми сейчас происходит профессиональное общение, в то время как Лесли Сейдж объясняет, как должно быть сделано такое общение.Астрономия, сделанная с космическим кораблем и большим оборудованием, очень дорого, а средства для тех, кто в конечном итоге поступает от общественности.Стоимость астрономии, пропорционалена количеству исследовательских астрономов, возможно, является самой высокой во всех науках.Если астрономы не разделяют свои результаты с общественностью, они потеряют его поддержку.Тем не менее, для большинства астрономов желание делиться и обучать доминирует над прагматической потребностью в получении общественной поддержки.С появлением новых методов общения (телевидение, видео, компакт-диски, DVD-диски, анимация, симуляции) у нас есть новые методы для содействия, в дополнение к традиционным изданиям печатного и произнесенного слова."
"Руководство по сферической и практической астрономии, вып.1",Уильям Чувенет,Наука,"Выдержка из руководства по сферической и практической астрономии, вып.1: Принятие общих проблем сферической астрономии, специальных применений, применения к морской астрономии и теории, а также использования фиксированных и портативных приложений, с приложением о методе наименьших квадратов, методы исследований, принятых в этой работе, соответствуют тому, что можно назвать современной школой практической астрономии или более отчетливо в немецкой школе, в главной главе, которая позиционирует внедованной.В этой школе расследования как общих проблем сферической астрономии, так и теории астрономических инструментов, отличающиеся от общности их формы и их математической строгости.Когда на практике используются приблизительные методы для удобства, их степень точности тщательно определяется с помощью точной формула, ранее исследуемой;Последний разрабатывается в сходящихся сериях, и только такие термины этих серий пренебрегают, как можно показать, как нечувствительные в тех случаях, к которым должен применяться формулу.И это существенное условие всех методов вычислений из данных, предоставленных наблюдением, о том, что ошибки вычисления всегда должны быть практически нечувствительными в отношении ошибок наблюдения: так что наши результаты должны быть исключительно законными вычетами из наблюдений и свободными от всех, что можно избежать.О издателе забытые книги публикуют сотни тысяч редких и классических книг.Найдите больше на www.forgottenbooks.com Эта книга представляет собой воспроизведение важной исторической работы.Forgotten Books использует современные технологии для цифрового реконструкции работы, сохраняя исходный формат, в то же время ремонтируя недостатки, присутствующие в стариной копии.В редких случаях в нашем издании может быть воспроизведено несовершенство в оригинале, такое как пятно или пропавшая страница.Однако мы успешно ремонтируем подавляющее большинство недостатков;Любые недостатки, которые остаются намеренно, остаются для сохранения состояния таких исторических произведений."
Отзывы в современной астрономии 2,Герхард Кларе,Наука,"Второй ежегодник, опубликованный Astronomische Gesellschaft, представляет собой широту и глубину современных астрономических исследований.Шварцшильдская лекция Мартина Риса ""Есть ли в каждой галактике массивную черную дыру?""Следует несколько обширных обследований новых возможностей для исследования, открывающихся с следующим поколением телескопов, специальных спутников и инновационных инструментов.Среди прочих тем, спектроскопия SN 198/A, химически своеобразных звезд и экстрагалактических радиоприемников подробно справляется с.Том округлен более короткими обзорами предварительных исследований, начиная от аккреционных дисков и физики солнечной энергии до космических лучей и звездной эволюции."
Статистические проблемы в астрономии,"Эрик Д. Фейгельсон, Джогеш Бабу",Наука,"Цифровые обследования неба, высокая астрометрия из спутниковых данных, данные о глубоком пространстве из экологических телескопов и тому подобное увеличило количество и качество астрономических данных на заказы величины в год в течение нескольких лет.Изучение этого богатства данных требует сложных статистических методов.К счастью, статистические методологии в последние годы добились больших успехов.Таким образом, мощные синергии возникают, когда астрономы и статистики присоединяются к изучению астростатистических проблем и подходов.Книга начинается с исторического обзора и учебных статей о базовой космологии для статистиков и принципах байесовского анализа для астрономов.Как и в более ранних томах этой серии, вклад в исследования, обсуждающие темы в одной области, объединяются с комментариями от ученых в другой.Таким образом, например, обзор байесовских методов для пуассоновских данных соединяется в обсуждении планирования астрономических наблюдений с оптимальной эффективностью и вложенными моделями для борьбы с инструментальными эффектами.Основной темой тома является статистические методы, необходимые для моделирования фундаментальных характеристик ранней вселенной на ее крупнейших масштабах."
Космос,Джон Норт,История,"Окончательная история поиска человечества, чтобы найти свое место во вселенной.Северные графики «История астрономии и космологии» от палеолитического периода до сегодняшнего дня."
Последние достижения и проблемы в астрономии,"Кристоф Г. де При, Кевин Марвел, Алан Аксельрод",Наука,"Недавние проблемы и достижения в области астрономии исследуют наиболее важные события в астрономии в течение последнего десятилетия, включая результаты недавних исследований по экстразолярным планетарным системам, черным дырам и существованию воды в космосе.Помимо изучения социальных последствий недавних событий, в книге также рассматриваются философские вопросы, поднятые недавними достижениями, например, находимся ли мы в одиночестве во вселенной.Другие главы предлагают биографии выдающихся астрономов, дискуссии о важных текущих исследованиях, резюме астрономического финансирования и статистики карьеры, а также глоссарий терминов.Книга также содержит аннотированный список соответствующих организаций и библиографий печатных и непечатных информационных ресурсов.Книга иллюстрирована и сильно перекрестно привязана, и включает в себя подробный предмет.Специальная глава включает в себя повествования, написанные четырьмя подготовленными астрономами, каждый из которых описывает конкретный карьерный путь, который он или она выбрал, как внутри, так и за пределами самой области астрономии."
Новая астрономия,Нет данных,Наука,"Изучает вселенную во всех ее аспектах, от ее начала в Большом взрыве до обещания изучения космоса."
Греческая астрономия,Сэр Томас Литтл Хит,Исполнительское искусство,"Превосходное научное исследование документирует необычайные вклад Пифагора, Аристарха, Гиппарха, Анаксагор, многих других мыслителей в закладывании основы научной астрономии.Основное чтение для ученых и студентов астрономии и истории науки.Доступно для научного непрофессионала.Введение."
Статистические проблемы в современной астрономии II,"Г. Джогеш Бабу, Эрик Д. Фейгельсон",Наука,"Современные астрономические исследования сталкиваются с широким спектром статистических проблем, которые породили возрождение методологической деятельности среди астрономов.Статистические проблемы на современной конференции астрономии II объединили астрономов и статистики для обсуждения методологических вопросов, представляющих общий интерес.Анализ временных рядов, анализ изображений, байесовские методы, процессы Пуассона, нелинейная регрессия, максимальная вероятность, многомерная классификация, а также вейвлет и многомасштабный анализ были важными темами.Многие проблемы были введены на конференции в контексте крупномасштабных астрономических проектов, включая LIGO, AXAF, XTE, Hipparcos и оцифрованные Sky Surveys.Таким образом, этот том будет интересен для исследователей и продвинутых студентов в обеих областях - астрономах, стремящихся к воздействию недавних событий в статистике, и статистиков, заинтересованных в противодействии новым проблемам."
Астрономия на персональном компьютере,"Оливер Монтенбрук, Томас Пфлегер",Наука,"Тщательное введение в вычисление небесной механики, охватывающее все, от астрономической и вычислительной теории до построения программ быстрого и точного применения.Книга поставляет необходимые знания и программные решения для определения и прогнозирования позиций Солнца, Луны, планет, незначительных планет и комет, солнечных затмений, звездных оккультов на Луне, фазы луны и многого другого.Это полностью пересмотренное издание использует C ++, и отдельные приложения могут эффективно реализованы с помощью мощной библиотеки модулей.Сопровождающий CD-ROM содержит полные, полностью задокументированные и прокомментированные исходные коды, а также исполняемые программы для Windows 98/2000/XP и Linux."
Новые теории в астрономии,Уильям Стерлинг,Наука,"В «Новых теориях астрономии» Уильяма Стерлинга читателей отправляются в путешествие через новаторские идеи и концепции в области астрономии.Книга Стерлинга представляет собой новый взгляд на небесные явления, в которых изучается сложные теории четким и увлекательным образом, доступным как для начинающих, так и для опытных астрономов.С сочетанием научной строгости и литературной изящества, стиль письма Стерлинга очаровывает читателей и приглашает их углубиться в загадки вселенной.Книга является свидетельством глубокого знания Стерлинга и страсти к астрономии, что делает ее ценным дополнением к библиотеке любого энтузиаста астрономии.Уильям Стирлинг, известный астроном и ученый, привносит годы исследований и опыта в «новые теории в астрономии».Его обширный опыт работы в этой области позволяет ему справиться с сложными астрономическими концепциями с ясностью и точностью, что делает книгу авторитетным и поучительным чтением для тех, кто стремится расширить свое понимание космоса.Для читателей, стремящихся исследовать границы астрономии и открыть передовые теории в этой области, «Новые теории в астрономии» Уильяма Стерлинга-обязательное прочитание.Уникальные идеи Стерлинга и привлекательный стиль письма делают эту книгу ценным ресурсом для всех, кто интересуется чудесами вселенной."
Обсерватории и телескопы современности,Дэвид Леверингтон,История,Радиозиционная обсерватория и индекс телескопа - общий индекс
Эхо древнего неба,Э. С. Крупп,Наука,"Популярный, авторитетный взгляд на мир археоастрономии, изучение наблюдения древних людей о небе и его роль в их культурной эволюции.208 иллюстрации."
Исследование преподавания астрономии в планетарии,"Тимоти Ф. Слейтер, Коти Б. Тэтге",Наука,"От известного специалиста по астрономическому образованию и проживанию, это краткое изложение дает обзор наиболее влиятельной литературы по научному образованию на основе дисциплины, который сейчас направляет современное преподавание астрономии.В последние годы систематические исследования эффективных и эффективных стратегий обучения обеспечили прочную основу для улучшения обучения студентов на уровне колледжа в астрономии.Преподавание астрономии и планетарной науки на уровне колледжа когда-то лучше всего было охарактеризовано как ориентированные на профессора лекции по информации.Сегодня астрономическая факультет стремится кардинально улучшить учебную среду, используя инновационные подходы к обучению.Уникально, авторы организовали эту книгу вокруг нитей, широко используемых стратегий преподавания астрономии, чтобы помочь читателям, профессорам и ученым быстро получить доступ к наиболее актуальной работе, одновременно избегая высокоспециализированного, технического словаря конструктивистской образовательной педагогии, непревзойденной для большинства профессоров астрономии.Для читателей, которые в настоящее время преподают астрономию на уровне колледжа - или для тех, кто планирует преподавать на уровне колледжа в будущем, - это краткое изложение предоставляет незаменимое руководство."
Экстрагалактическая астрономия,J.L. Sérsic,Наука,"Эта книга является результатом заметок, сделанных для семестра, по «проблемам экстрагалактической астрономии», даваемых почти ежегодно в течение двух десятилетий в AB Servatorio Astronomico в Университете -Кордоба.Более короткие версии были также даны в La Plata, Santiago de Chile, Sao Paulo, Rio de Janeiro и Paraiba.E. Scalise сделал португальский язык версии заметок и призвал меня опубликовать их;Хотя моего друга Дж. Клексека следует обвинить в идее этой книги.Не каждый предмет по экстрагалактической астрономии был затронут в этой книге: вместо этого я следил за теми, кто интересовался мне в течение 25 лет профессиональной практики в этой части мира.Я признаю полезные предложения от M. pastoriza и G. Carranza, Com Prehension of Director L. Milone и сотрудничества персонала наблюдения в Cordoba.Юмор и остроумие Р. Тшамлера продемонстрировали задачу создания английской версии, а преданность М. Писарро создала отредактированную MS.Для них обоих я в глубокой благодарности.«Книга опубликована по необходимости, в противном случае автор проведет всю свою жизнь, поливая оригиналы», - ответил Дж. Л. Борхеса для журналиста Inquisi.Эти слова объясняют, почему эта книга так отличается от лекционных заметок, а также от книги, на которую я надеялся.Я благодарю Б. Маккормак и Д. Рейдель, публично.Co. за мое спасение от Borges 'Inferno."
Будущее астрономии,Эдвард С. Пикеринг,Вымысел,"Digicat Publishing представляет вам это специальное издание «Будущее астрономии» Эдварда К. Пикеринг.Digicat Publishing считает, что каждое письменное слово является наследием человечества.Каждая книга Digicat была тщательно воспроизведена для переиздания в новом современном формате.Книги доступны в печати, а также в электронных книгах.Digicat надеется, что вы будете относиться к этой работе с признанием и страстью, которую она заслуживает как классику мировой литературы."
Организации и стратегии в астрономии 6,Андре Хек,Наука,"Эта книга является шестым томом под заглавными организациями и стратегиями астрономии (OSA).Серия OSA предназначена для охвата большого диапазона полей и тем.На практике можно было бы сказать, что все аспекты связанной с астрономической жизнью и окружающей средой рассматриваются в духе обмена конкретными знаниями и извлеченными уроками.Главы этой книги посвящены социально-динамическим аспектам сообщества астрономии (и связанных с ними космических наук): характеристики организаций, стратегии развития, правовые вопросы, операционные методы, наблюдение за практичностью, образовательной политикой, профили журнала и журнала, профили общественных мероприятий, публикационные исследования, отношения со СМИ, исследовательские коммуникации, оценка и выборочные процедуры, процедуры для исследований, национальные, национальные, и конструируют, и конструируют, и конструируют, и конструируют, и конструируют, и национальные, и конструируют, и конструируют, и национальные, и национальные, и национальные, и национальные, и национальные, и национальные, и национальные, и национальные, и национальные, и национальные, и национальные, и национальные, и национальные, и национальные, и национальные, и национальные исследования, и концентрации.Эксперты, участвующие в этом томе, сделали все возможное, чтобы написать так, чтобы читатели не обязательно гиперсециализировались в астрономии, предоставляя конкретную подробную информацию, а иногда и просвечивающие разделы «уроки, изученные».Книга завершается обновленной библиографией публикаций, связанных с социально-астрономией, и взаимодействием астрономического сообщества с обществом в целом.Этот том будет наиболее полезным читать исследователями, учителями, редакторами, издателями, библиотекарями, социологами науки, планировщиками исследований и стратегами, менеджерами проектов, офицеров по публикации, плюс тех, кто отвечает за организации, связанные с акциями, а также студенты, стремящиеся к карьере в области астрономии или связанной с ней космической науки."
Заказы на небеса,Брюс Иствуд,Наука,"Основываясь на оценках средневековых текстов рукописей и диаграмм, книга показывает, как римские источники использовались в эпоху Карла Великого для вновь вновь и расширить качественную картину сочлененного геометрического порядка на небесах."
Хроника золотого века астрономии,Нил английский,Наука,"Изобретение телескопа в рассвете 17 -го века революционизировало понимание человечества вселенной и нашего места в нем.Эта книга прослеживает развитие телескопа в течение четырех веков, а также многих личностей, которые использовали его, чтобы раскрыть совершенно новые откровения о солнцах, луне, планетах, звездах и отдаленных галактиках.Начиная с ранних наблюдателей, таких как Томас Харриот, Галилео, Йоханнес Хевелий, Джованни Доменико Кассини, Роберт Хук и Кристиан Хайгенс, в книге рассматривается, как эти ранние наблюдатели пришли к по существу правильных идей, касающихся объектов, которые они изучали.Переходя в 18 и 19 веков, автор описывает растущую изощренность телескопов, как крупных, так и маленьких, и знаменитых фигур, которые так продуктивно использовали их, включая Гершелс, Чарльза Мессье, Уильяма Ласселла и графов Россе.Многие великие открытия также были сделаны с меньшими инструментами, когда они были помещены в способные руки династии Струве, Ф. У. Бесселя, Анджело Секки и С.В. Бернхэма, и это лишь некоторые из них.И все не были большими наблюдателями профессионального ILK.Книга исследует вклад, внесенные «канцелярскими астрономами», Уильям Раттер Доус, Томас Уильям Уэбб, Т.Е. Р. Филипс и Т.Х.Е.С.А в 20 -м веке работа Персиваля Лоуэлла, Лесли Пельтье, Юджина М. Антониади, Клайда Томбо, Уолтера Скотта Хьюстона, Дэвида Х. Леви и сэра Патрика Мур полностью изучена.Щедро иллюстрированный повсюду, этот сокровищница астрономической истории показывает, как работа каждого наблюдателя привела к оригинальным разработкам в науке и предоставлению ключевого понимания того, как мы сегодня изучаем небеса."
Учение астрономии,"Джей М. Пасачофф, Джон Р. Перси",Наука,"Эта книга связана с процессами Международного коллоквиума астрономического союза 105. Каждый аспект преподавания астрономии изучает участники.Курсы, методы обучения и преподавания составляют большой сектор книги.Практическая информация о компьютерах, учебниках и астрономическом оборудовании дается, связывая главы по студенческим проектам и методам обучения.Философские аспекты и история астрономии описаны в главе под названием «Астрономия и культура».Обсуждается популяризация астрономии, включая роль планетарий и вклад астрономов -любителей.Эта всеобъемлющая и хорошо иллюстрированная книга предлагает уникальный обзор международных технологий и опыта обучения, которые будут служить долгосрочным руководством по астрономам, участвующим в образовании."
Радио и радарные астрономические проекты для начинающих,Стивен Арнольд,Наука,"Радио и радар астрономии являются мощными инструментами при изучении чудес вселенной, но они склонны к мистифицированию любителей астрономов.Эта книга содержит всеобъемлющее введение в новичков, содержащее все, что вам нужно, чтобы начать наблюдение на радиоволньях.Написанная инженером -механиком, который фактически создал и управлял описанными инструментами, книга содержит множество проверенных консультаций и практических ресурсов.Это пересмотренное издание оригинальной книги 2014 года, начинающегося в радиоастрономии, дает полный обзор новейших технологий и исследований, включая новейшие модели и оборудование на рынке, а также совершенно новый раздел по радиоастрономии с программными радии (SDRS).Включены четыре совершенно новых начинающих проекта, в том числе отскакивание радиолокационного сигнала с луны, обнаружение Aurora и настройку в радиоприемник, используемое астронавтами на борту МКС.Не требуя предыдущих знаний, без страшной математики и никакого дорогостоящего оборудования, книга послужит забавным и усваиваемым ссылкой для любого уровня астрономов, надеющихся расширить свои навыки в радиоспектр."
